root,/root
daemon,/usr/sbin
bin,/bin
sys,/dev
sync,/bin
games,/usr/games
man,/var/cache/man
lp,/var/spool/lpd
mail,/var/mail
news,/var/spool/news
uucp,/var/spool/uucp
proxy,/bin
www-data,/var/www
backup,/var/backups
list,/var/list
irc,/var/run/ircd
gnats,/var/lib/gnats
nobody,/nonexistent
systemd-network,/run/systemd
systemd-resolve,/run/systemd
systemd-timesync,/run/systemd
messagebus,/nonexistent
syslog,/home/syslog
_apt,/nonexistent
tss,/var/lib/tpm
uuidd,/run/uuidd
tcpdump,/nonexistent
avahi-autoipd,/var/lib/avahi-autoipd
usbmux,/var/lib/usbmux
rtkit,/proc
dnsmasq,/var/lib/misc
cups-pk-helper,/home/cups-pk-helper
speech-dispatcher,/run/speech-dispatcher
avahi,/var/run/avahi-daemon
kernoops,/
saned,/var/lib/saned
nm-openvpn,/var/lib/openvpn/chroot
hplip,/run/hplip
whoopsie,/nonexistent
colord,/var/lib/colord
fwupd-refresh,/run/systemd
geoclue,/var/lib/geoclue
pulse,/var/run/pulse
gnome-initial-setup,/run/gnome-initial-setup/
gdm,/var/lib/gdm3
sssd,/var/lib/sss
linuxuser,/home/linuxuser
systemd-coredump,/
jdow,/home/jdow
jd1,/home/jd1
jdvance,/home/jdvance
vboxadd,/var/run/vboxadd
